货物出口到香港包括九龙或澳门寸仓火险责任扩展条款,_FIRE_RISK_EXTENSION_CLAUSEFOR
直接成本盈利性分析,_DIRECT_COSTING_PROFITABILITY
不和谐归属层次结构,_DISSONANCEATTRIBUTION
全方位服务的批发商,_FULLSERVICE_WHOLESALERS
动态超文本标记语言,_DYNAMIC_YPEREXT_ARKUP_ANGUAGE
控制理论与控制技术,_CONTROL_THEORY_AND_CONTROL
辐射防护及环境保护,_RADIATION_AND_ENVIRONMENTAL
中西医结合基础医学,_BASIC_DISCIPLINE_OF_CHINESE
中国体育舞蹈联合会,_CHINA_DANCE_SPORT_FEDERATIO
教育经济学与管理学,_EDUCATIONAL_ECONOMY_AND
国家科学技术委员会,_STATE_SCIENCE_AND_TECHNOLOGY
国家体育运动委员会,_STATE_PHYSICAL_CULTURE_AND
中共党史人物研究会,_SOCIETY_ON_THE_HISTORICAL
中国人民解放军炮兵,_PLA_ARTILLERY_FORCES
中国少年儿童基金会,_CHILDRENS_FOUNDATION_OF_CHINA
中国杂技艺术家协会,_CHINESE_ACROBATS_ASSOCIATION
中华全国集邮联合会,_ALLCHINA_PHILATELIC_FEDERATION
举债经营收购美简称,_LEVERAGED_BUYOUTSLBC
平均成本与个别成本,_AVORAGE_COST_AND_INDIVIDUAL
房地产开发企业会计,_ACCOUNTING_OF_REAL_ESTATE
突然烧起来突然发怒,_FLARE_UP
成长性市场定位战略,_GROWTHMARKET_TARGETING
大规模市场渗透战略,_MASSMARKET_PENETRATION
美国著名玩具零售商,_TOYS_R_US
款项让渡或款项过渡,_ASSIGNMENT_OF_PROCEED
中国辐射防护研究院,_CHINA_RESEARCH_INSTITUTE_OF
中国科学院研究生院,_GRADUATE_UNIVERSITY_OF_CHINESE
事实上对照计价货币,_MONEY_OF_ACCOUNT
上海医药工业研究院,_SHANGHAI_INSTITUTE_OF
在某种程度上部份地,_IN_PART
特种经济动物饲养学,_THE_REARING_OF_SPECIALTYPE
邀请进出口贸易发盘,_INVITATION_TO_MAKE_OFFER
船边交货指定装运港,_FREE_ALONGSIDE_SHIPNAMED_PORT
使柔软柔和一下身体,_LIMBER_UP
听说国际贸易补偿制,_COMPENSATION_SYSTEM
婴儿潮出生的一代人,_BABY_BOOMERS
山西省中医药研究院,_SHANXI_ACADEMY_OF_TRADITIONAL
中国环境科学研究院,_CHINESE_RESEARCH_ACADEMY_OF
合约式垂直营销系统,_CONTRACTUAL_VERTICAL_MARKETING
中国林业科学研究院,_CHINESE_ACADEMY_OF_FORESTRY
洛阳耐火材料研究院,_SINOSTEEL_CORPORATION_LUOYANG
圣路易斯华盛顿大学,_WASHINGTON_UNIVERSITY_IN_ST
职能能力与资源分配,_FUNCTIONAL_COMPETENCIES_AND
贝尔法斯特女王大学,_QUEENS_UNIVERSITY_BELFAST
测试计量技术及仪器,_MEASURING_AND_TESTING
武器系统与运用工程,_WEAPON_SYSTEMS_AND_UTILIZATION
中西医结合临床医学,_CLINICAL_DISCIPLINE_OF_CHINESE
代表资格审查委员会,_CREDENTIALS_COMMITTEE
国家计划生育委员会,_STATE_FAMILY_PLANNING
中央文献编辑委员会,_EDITORIAL_COMMITTEE_ON_PARTY
中国共产主义青年团,_COMMUNIST_YOUTH_LEAGUE_OF
中国民间文艺家协会,_CHINA_SOCIETY_FOR_THE_STUDY_OF
中华全国青年联合会,_ALLCHINA_YOUTH_FEDERATION
母公司持股比例变动,_CHANGE_IN_OWNERSHIP_PERCENTAGE
财务成本与管理成本,_FINANCIAL_COST_AND_MANEGEMENT
可转让定期存单市场,_NEGOTIABLE_CDMARKET
动态随机存取存储器,_DRAM
突然说突然表现出来,_FLASH_OUT
好转向好的方向发展,_FOR_THE_BETTER
间接成本盈利性分析,_INDIRECT_COSTING_PROFITABILITY
航空运输货物战争险,_AIR_TRANSPORTATION_CARGO_WAR
湖南省中医药研究院,_HUNAN_ACADEMY_OF_TRADITIONAL
中共黑龙江省委党校,_HEILONGJIANG_ADMINISTRATIVE
中国测绘科学研究院,_CHINESE_ACADEMY_OF_SURVEYING
武汉邮电科学研究院,_WUHAN_POST_AND
路上运输冷藏货运险,_OVERLAND_TRANSPORTATION_FROZEN
吉林华侨外国语学院,_JILIN_HUAQIAO_FOREIGN_LANGUAGE
自动武器与弹药工程,_ARTILLERY_AUTOMATIC_GUN_AND
现有在手头在进行中,_IN_HAND
党德学说与党的建设,_HISTORY_OF_THE_COMMUNIST_PARTY
日内瓦统一支票法规,_GENEVA_UNIFORM_LAW_ON_CHEQUE
贸易咨询所有权证书,_CERTIFICATE_OF_OWNERSHIP
行为扫描信息源公司,_BEHAVIOR_SCAN_INFORMATION
买方的讨价还价能力,_BUYERS_BARGAINING_POWER
中国兵器科学研究院,_CHINA_ENGINERY_RESEARCH
苏黎世联邦理工学院,_ETH_ZURICH_SWISS_FEDERAL
阿姆斯特丹自由大学,_VU_UNIVERSITY_AMSTERDAM
按地区组织销售队伍,_GEOGRAPHICAL_ORGANIZATION_OF
北卡罗来纳州立大学,_NORTH_CAROLINA_STATE
达姆施塔特工业大学,_TECHNICAL_UNIVERSITY_OF
俄勒冈健康科学大学,_OREGON_HEALTH_AND_SCIENCE
分布式网间应用程序,_ISTRIBUTED_INTERET_PPLICATION
机械制造及其自动化,_MECHANICAL_MANUFACTURE_AND
兵器发射理论与技术,_ARMAMENT_LAUNCH_THEORY_AND
动物遗传育种与繁殖,_ANIMAL_GENETICS_BREEDING_AND
病理学与病理生理学,_PATHOLOGY_AND_PATHOPHYSIOLOGY
精神病与精神卫生学,_PSYCHIATRY_AND_MENTAL_HEALTH
公共卫生与预防医学,_PUBLIC_HEALTH_AND_PREVENTIVE
世界体育舞蹈联合会,_WORLD_DANCESPORT_FEDERATION
国家民族事务委员会,_STATE_NATIONALITIES_AFFAIRS
对外贸易经济合作部,_MINISTRY_OF_FOREIGN_TRADE_AND
全国政协常务委员会,_THE_STANDING_COMMITTEE_OF_THE
中国民主建国会民建,_CHINA_DEMOCRATIC_NATIONAL
通用日记账核算形式,_BOOKKEEPING_PROCEDURE_USING
中华全国世界语协会,_ALLCHINA_ESPERANTO_LEAGUE
原始成本和重置成本,_ORIGINAL_COST_AND_REPLACEMENT
已耗成本与未耗成本,_EXPIRED_COST_AND_UNEXPIRED
洛伦索马贵斯马普托,_LOURENCOMARQUES
小型计算机系统接口,_SCSI
走运正在得意的时候,_HAVE_ONE_DAY
市场地位的集中程度,_INTENSITY_OF_MARKET_POSITION
路上运输货物战争险,_OVERLAND_TRANSPORTATION_CARGO
国际贸易水运保险单,_MARINE_INSURANCE_POLICY
在各方面以各种方式,_IN_EVERY_WAY
听说贸易咨询扣押权,_LIEN
本质上就其本身而言,_IN_ITSELF
用与否定疑问句容忍,_STAND_FOR
北京第二外国语学院,_BEIJING_SECOND_FOREIGN
消费者包装食品公司,_CONSUMER_PACKAGEDGOODS_FIRMS
加州大学伯克利分校,_UNIVERSITY_OF
加州大学戴维斯分校,_UNIVERSITY_OF_CALIFORNIA_DAVIS
侧翼进攻与围堵战略,_FLANKING_AND_ENCIRCLEMENT
环境与资源保护法学,_SCIENCE_OF_ENVIRONMENT_AND
电力系统及其自动化,_POWER_SYSTEM_AND_ITS
模式识别与只能系统,_PATTERN_RECOGNITION_AND
纺织化学与染整工程,_TEXTILE_CHEMISTRY_AND_DYEING
航空宇航科学与技术,_AERONAUTICAL_AND_ASTRONAUTICAL
军事化学与烟火技术,_MILITARY_CHEMISTRY_AN
动物营养与饲料科学,_ANIMAL_NUTRITION_AND_FEED
流行病与卫生统计学,_EPIDEMIOLOGY_AND_HEALTH
国家矿产储量管理局,_STATE_ADMINISTRATION_ON
中国民主促进会民进,_CHINA_ASSOCIATION_FOR
中国人民解放军海军,_PLA_NAVY
中国盲人聋哑人协会,_CHINA_ASSOCIATION_FOR_THE
直接成本与间接成本,_DIRECT_COST_AND_INDIRECT_COST
因出事故而束手无策,_RENDEREDHELPLESSBYCCIDENT
勇敢地对付大胆面向,_FACE_UP_TO
高市场份额全球战略,_HIGH_MARKET_SHARE_GLOBAL
美国国家半导体公司,_NATIONAL_SEMICONDUCTOR
目标任务促销预算法,_OBJECTANDTASK_METHOD_OF
订货规模的销售分析,_SALES_ANALYSIS_BY_ORDER_SIZE
南京水利科学研究院,_NANJING_HYDRAULIC_RESEARCH
兰州生物制品研究所,_LANZHOU_VACCINE_AND_SERUM
中国建筑设计研究院,_CHINA_ARCHITECTURAL_DESIGN_AND
简言之以简洁的形式,_IN_BRIEF
油脂及植物蛋白工程,_CEREALS_OILS_AND_VEGETABLE
在适当的位置适当的,_IN_PLACE
协会战争险条款货物,_INSTITUTE_WAR_CLAUSESCARGO
财政总预算会计制度,_BUDGETARY_ACCOUNTING
长春生物制品研究所,_CHANGCHU_VACCINE_AND_SERUM
评估替代品各种选择,_EVALUATION_OF_ALTERNATIVES
安格利亚鲁斯金大学,_ANGLIA_RUSKIN_UNIVERSITY
莫斯科物理技术学院,_MOSCOW_INSTITUTE_OFPHYSICSAND
地质资源与地质工程,_GEOLOGICAL_RESOURCES_AND
交通信息工程及控制,_TRAFFIC_INFORMATION
作物栽培学与耕种学,_CROP_CULTIVATION_AND_FARMING
中国奥林匹克委员会,_CHINESE_OLYMPIC_COMMITTEE
伦敦劳埃德保险公司,_LLOYD_OF_LONDON
生产商的销售办事处,_MANUFACTURERS_SALES_OFFICES
产品－市场进入控制,_PRODUCTMARKET_ENTRY_CONTROL
武汉生物制品研究所,_WUHAN_VACCINE_AND_SERUM
中国兽医药品监察所,_CHINA_INSTITUTE_OF_VETERINARY
中国电力科学研究院,_CHINA_INSTITUTE_OF_ELECTRIC
发货代理或货运代理,_FORWARDING_AGENTS
手工制纺织品产地证,_CERTIFICATE_IN_REGARD_TO
黑龙江省社会科学院,_HEILONGJIANG_ACADEMY_OF_SOCIAL
卡尔斯鲁厄理工学院,_KARLSRUHE_INSTITUTE_OF
过去销售趋势推测法,_EXTRAPOLATION_OF_PAST_SALES
大众商品折扣连锁店,_GENERAL_MERCHANDISE_DISCOUNT
全球精英消费品市场,_GLOBAL_ELITE_CONSUMER_SEGMENT
凯泽斯劳滕工业大学,_UNIVERSITY_OF_KAISERSLAUTERN
比较文学与世界文学,_COMPARATIVE_LITERATURE_AND
一般力学与力学基础,_GENERAL_AND_FUNDAMENTAL
电力电子与电力传动,_POWER_ELECTRONICS_AND_POWER
交通运输规划与管理,_TRANSPORTATION_PLANNING_AND
农业电气化与自动化,_AGRICULTURAL_ELECTRIFICATION
航空航天与航海医学,_AEROSPACE_AND_NAUTICAL
​国际交际舞理事会,_INTERNATIONAL_COUNCIL_OF
特定问题调查委员会,_COMMITTEE_OF_INQUIRY_INTO
国家经济贸易委员会,_STATE_ECONOMIC_AND_TRADE
中国翻译工作者协会,_TRANSLATORS_ASSOCIATION_OF
中华全国妇女联合会,_ALLCHINA_WOMENS_FEDERATION
历史成本与未来成本,_HISTORICAL_COST_AND_FUTURE
提前支付与延期支付,_LEADS_AND_LAGS
埃尔朗根纽伦堡大学,_UNIVERSITY_OF
项目管理或项目经理,_PROJECT_MANAGEMENT_OR_PROJECT
开始认真考虑或对待,_GET_DOWN_TO
按产品组织销售队伍,_PRODUCT_ORGANIZAITON_OF
相关式垂直营销系统,_RELATIONAL_VMSS
撇脂与尽早撤离战略,_SKIMMING_AND_EARLY_WITHDRAWAL
三阶段层级结构模型,_THREE_ORDERHIERARCHY_MODELS
中国制浆造纸研究院,_CHINA_NATIONAL_PULP_AND_PAPER
黑龙江省中医研究院,_HEILONGJIANG_ACADEMY_OF
中国建筑科学研究院,_CHINA_ACADEMY_OF_BUILDING
生产商原产地证明书,_MANUFACTURE_CERTIFICATE_OF
拆散成整车皮装货物,_KNOCKEDDOWN_IN_CARLOADS
风景园林规划与设计,_URBAN_PLANNING_AND_DESIGN
许多的一个又一个的,_MANY_A
事业单位固定资产,_FIXED_ASSETS_FOR_NONPROFIT
科学事业单位资产,_SCIENTIFIC_RESEARCH
仲恺农业技术学院,_ZHONGKAI_INSTITUTE_OF
铁道部科学研究院,_CHINA_ACADEMY_OF_RAILWAY
中共陕西省委党校,_SHANXI_ADMINISTRATIVE_COLLEGE
吉林建筑工程学院,_JILIN_INSTITUTE_OF
江苏省植物研究所,_JIANGSU_RESEARCH_INSTITUTE_OF
伦敦大学国王学院,_KINGS_COLLEGE_LONDON
中国科学技术大学,_UNIVERSITY_OF_SCIENCE_AND
里昂高等师范学院,_COLE_NORMALE_SUPRIEURE_DE_LYON
中国少数民族艺术,_CHINESE_ETHNIC_ART
阿拉伯语语言文学,_ARABIC_LANGUAGES_AND
电工理论与新技术,_THEORY_AN_NEW_TECHNOLOGY_OF
运载工具运用工程,_VEHICLE_OPERATION_ENGINEERING
核燃料循环与材料,_NUCLEAR_FUEL_CYCLE_AND
所得税的跨期分摊,_INTERQERIOD_TAX_ALLOCATION
退休金给付义务美,_PENSION_BENEFIT_OBLIGATIONS
资本资产定价模型,_CAPITAL_ASSET_PRICING_MODEL
特许权使用管理费,_FEES_AND_ROYALTIES
交通运输企业会计,_ACCOUNTING_OF_COMMUNICATION
杜伊斯堡埃森大学,_UNIVERSITY_OF_DUISBURGESSEN
项目管理知识体系,_PROJECT_MANAGEMENT_BODY_OF
过活相处融洽进展,_GET_ALONG
成熟成年逐渐形成,_GROW_UP
紧紧抓住控制克制,_HOLD_ON_TO
整合营销传播计划,_INTEGRATED_MARKETING
非物质性奖励措施,_NONFINANCIAL_REWARDS
圣多美和普林西比,_SAO_TOME_AND_PRINCIPE
中国科学技术大学,_UNIVERSITY_OF_SCIENCE_AND
北京航空航天大学,_BEIJING_UNIVERSITY_OF
西北农林科技大学,_NORTHWEST_SCITECH_UNIVERSITY
对外经济贸易大学,_UNIVERSITY_OF_INTERNATIONAL
西安建筑科技大学,_XIAN_UNIVERSITY_OF
辽宁工程技术大学,_LIAONING_TECHNICAL_UNIVERSITY
纯佣金制薪酬方案,_STRAIGHT_COMMISSION
上海第二工业大学,_SHANGHAI_SECOND_POLYTECHNIC
自动售货机经营商,_VENDINGMACHINE_OPERATORS
中共辽宁省委党校,_LIAONING_ADMINISTRATIVE
浙江省医学科学院,_ZHEJIANG_ACADEMY_OF_MEDICAL
天津工程师范学院,_TIANJIN_UNIVERSITY_OF
非自动循环信用证,_NONAUTOMATIC_REVOLVING_LETTER
北京机械工业学院,_BEIJING_INSTITUTE_OF_MACHINERY
中国民用航空学院,_CIVIL_AVIATION_UNIVERSITY_OF
卸货重量到岸重量,_LANDING_WEIGHT
离开转入另一条路,_TURN_OFF
作为回报作为报答,_IN_RETURN
巧妇难为无米之炊,_IF_YOU_HAVE_NO_HAND_YOU
国际铁路货物联运,_INTERNATIONAL_RAILWAY_THROUGH
互相合作携起手来,_JOIN_HANDS_WITH
留心看着保持警惕,_KEEP_ONE_EYES_OPEN
贮存储蓄暂停使用,_LAY_UP
听其自然不要去管,_LEAVE_ALONE
很久以前很久以来,_LONG_SINCE
顺便看望顺便访问,_LOOK_IN
充分利用极为重视,_MAKE_THE_MOST_OF
走来走去总是搬家,_MOVE_ABOUT
集装箱运输场至场,_CY_TO_CY
国际货物销售合同,_CONTRACT_FOR_THE_INTERNATIONAL
财务会计概念框架,_FINANCIAL_ACCOUNTING
行政单位财务规则,_FINANCIAL_RULES_OF
事业单位流动资产,_CURRENT_ASSETS_FOR_NONPROFIT
事业单位固定基金,_FIXED_FUNDS_NONPROFIT
科学事业单位支出,_SCIENTIFIC_RESEARCH
现有产品线的增加,_ADDITIONS_TO_EXISTING_PRODUCT
中央司法警官学院,_CENTRAL_INSTITUTE_FOR
可选择的营销渠道,_CHANNEL_ALTERNATIVES
安徽建筑工业学院,_ANHUI_INSTITUTE_OF
北京矿冶研究总院,_BEIJING_GENERAL_RESEARCH
中共北京市委党校,_BEIJING_ADMINISTRATIVE_COLLEGE
洛桑联邦理工学院,_COLE_POLYTECHNIQUE_FDRALE_DE
巴塞罗那自治大学,_AUTONOMOUS_UNIVERSITY_OF
全成本盈利性分析,_FULL_COSTING_PROFITABILITY
佛罗里达州立大学,_FLORIDA_STATE_UNIVERSITY
区域人口统计特征,_GEODEMOGRAPHICS
查尔姆斯工业大学,_CHALMERS_UNIVERSITY_OF
巴黎高等矿业学院,_MINES_PARISTECH
宪法学与行政法学,_CONSTITUTIONAL_LAW_AND
微生物与升华药学,_MICROBIAL_AND_BIOCHEMICAL
可扩展样式表语言,_ETENSIBLE_TYLESHEET_ANGUAGE
国务院新闻办公室,_INFORMATION_OFFICE_OF_THE
台湾民主自治同盟,_TAIWAN_DEMOCRATIC
中国科学技术协会,_CHINA_SCIENCE_AND_TECHNOLOGY
中国人民外交学会,_CHINESE_PEOPLES_INSTITUTE_OF
期内所得税分摊美,_INTRAPERIOD_TAX_ALLOCATION
退休金成本净额美,_NET_PERIODIC_PENSION_COST
一般物价水准会计,_GENERAL_PRICE_LEVEL_ACCOUNTING
辅助生产成本分配,_AUXILIARY_PRODUCTION_COST
高新技术企业会计,_ACCOUNTING_OF_HIGH_TECHNOLOGY
基础输入输出系统,_BIOS
完全固定总价合同,_FIRM_FIXED_PRICE
项目管理专业人员,_PROJECT_MANAGEMENT
民主的民主政体的,_DEMOCRATIC
与友好相处有进展,_GET_ALONG_WITH
一把抓住掌握得到,_GET_HOLD_OF
继续下去进行接近,_GO_ON
多重细分市场定位,_MULTISEGMENT_POSITIONING
新普罗德筛选模型,_NEW_PROD_SCREENING_MODEL
机会市场渗透战略,_NICHE_PENETRATION_STRATEGY
佛山科学技术学院,_FOSHAN_INSTITUTE_OF_SCIENCE
变更卸货港附加费,_ALTERATION_CHARGE
南昌航空工业学院,_NANCHANG_INSTITUTE_OF
广东省社会科学院,_GUANGDONG_ACADEMY_OF_SOCIAL
国际贸易分批装运,_PARTIAL_SHIPMENT
一旦滞期始终滞期,_ONCE_ON_DEMURRAGE_ALEEWAY_ON
拒绝承兑拒绝接受,_NONACCEPTANCENA
换句话说也就是说,_IN_OTHER_WORDS
千里之行始于足下,_AT_THOUSANDLI_JOURNEY_BEGINS
参军入伍联合起来,_JOIN_UP
缓慢而费力地前进,_LABOUR_ALONG
丢弃留下忘记携带,_LEAVE_BEHIND
象什么似地拼命地,_LIKE_ANY_THING
经历过度过经受住,_LIVE_THROUGH
照顾目送负责处理,_LOOK_AFTER
纺织品出口许可证,_EXPORT_LICENCE_TEXTILE
失去平衡心慌意乱,_LOST_ONE_BALANCE
边境交货指定地点,_DELIVERED_AT_FRONTIERNAMED
集装箱运输场至站,_CY_TO_CFS
集装箱运输站到门,_CFS_TO_DOOR
行政单位经费支出,_FUND_EXPENDITURES_OF
行政单位拨入经费,_APPROPRIATED_FUNDS_OF
科学事业单位预算,_SCIENTIFIC_RESEARCH
可获得性供货能力,_AVAILABILITY
中共浙江省委党校,_ZHEJIANG_ADMINISTRATIVE
中国人民公安大学,_CHINESE_PEOPLES_PUBLIC
西安工程科技学院,_XIAN_COLLEGE_OF_ENGINEERING
中共湖北省委党校,_HUBEI_ADMINISTRATIVE_COLLEGE
煤炭科学研究总院,_CHINESE_COAL_SCIENCE_RESEARCH
顾客的价格敏感度,_CUSTOMERS_PRICE_SENSITIVITY
韩国高等科技学院,_KOREA_ADVANCED_INSTITUTE_OF
亚利桑那州立大学,_ARIZONA_STATE_UNIVERSITY
比萨高等师范学院,_SCUOLA_NORMALE_SUPERIORE_DI
德累斯顿工业大学,_TU_DRESDEN
查尔斯达尔文大学,_CHARLES_DARWIN_UNIVERSITY
通用对象文件格式,_OMMON_BJECT_ILE_ORMAT
史学理论及史学史,_HISTORICAL_THEORIES_AND
简单对象访问协议,_SIMPLE_OBJECT_ACCESS_PROTOCOL
债权债务结算账户,_ACCOUNTS_FOR_SETTLEMENT_OF
中国计量测试学会,_CHINESE_SOCIETY_FOR
最低退休金负债美,_MINIMUM_LIABILITY
直接人工成本差异,_DIRECT_LABOR_VARIANCE
跨期摊提费用分配,_INTERPERIOD_EXPENSES
等级产品成本计算,_GRADED_PRODUCT_COSTING
成本计划管理体系,_PLANNED_MANAGEMENT_SYSTEM_OF
阿拉伯虎眼万年青,_ARABICUM
跨国运转资本会计,_MULTINATIONAL_WORKING_CAPITAL
精简指令集计算机,_RISC
固定价加奖励费用,_FIXED_PRICE_INCENTIVE_FEE
非个人的信息来源,_IMPERSONAL_SOURCES
重瓣粉红日本樱花,_TAIZANFUKUS
制造商全国性品牌,_MANUFACTURER_BRAND
阿拉伯联合酋长国,_UNITED_ARAB_EMIRATES
纯薪金制薪酬方案,_STRAIGHT_SALARY_COMPENSATION
辽宁石油化工大学,_LIAONING_UNIVERSITY_OF
目标市场选择战略,_TARGETING_STRATEGY
黔南民族师范学院,_QIANNAN_TEACHERS_COLLEGE_OF
江西科技师范学院,_JIANGXI_TEACHERS_COLLEGE_FOR
开证人开证申请人,_OPENER
中国刑事警察学院,_CHINA_CRIMINAL_POLICE
资源与环境经济学,_POPULATION_RESOURCES_AND
无源之水无本之木,_WATER_WITHOUT_A_SOURCE_AND_A
不再不再存在也不,_NO_MORE
集装箱运输站到厂,_CFS_TO_CY
紧张不安拉紧张力,_TENSION
医院会计报表分析,_ANALYSIS_OF_ACCOUNTING
事业单位借入款项,_LOANS_NONPROFIT_ORGANIZATION
事业单位对外投资,_OUTSIDE_INVESTMENTS_FOR
科学事业单位收入,_SCIENTIFIC_RESEARCH
高等学校财务制度,_FINANCIAL_REGULATIONS_FOR
湖北省社会科学院,_HUBEI_ACADEMY_OF_SOCIAL
中共重庆市委党校,_CHONGQING_ADMINISTRATIVE
社会公共机构广告,_INSTITUTIONAL_ADVERTISING
巴黎高等师范学院,_COLE_NORMALE_SUPRIEURE
科罗拉多矿业学院,_COLORADO_SCHOOL_OF_MINES
挪威生命科学大学,_NORWEGIAN_UNIVERSITY_OF_LIFE
考古学及博物馆学,_ARCHAEOLOGY_AND_MUSEOLOGY
林产化学加工工程,_CHEMICAL_PROCESSING
技术经济及管理学,_TECHNOLOGY_ECONOMY_AND
中国民主同盟民盟,_CHINA_DEMOCRATIC_LEAGUE
日记总账核算形式,_BOOKKEEPING_PROCEDURE_USING
举债经营融资租赁,_LEVERAGED_LEASE
直接材料成本差异,_DIRECT_MATERIAL_VARIANCE
外商投资企业会计,_ACCOUNTING_OF_ENTERPRISES_WITH
邮电通信企业会计,_ACCOUNTING_OF_POST_AND
全球卫星定位系统,_GPS
检查从头至尾温习,_GO_OVER
马蹄纹天竺葵杂种,_PELARGONIUM_ZONALE_HYBRIDS
与持同一看法伴随,_GO_WITH
恰巧注意到的差异,_JUST_NOTICEABLE_DIFFERENCE_JND
广东外语外贸大学,_GUANGDONG_UNIVERSITY_OF
南京信息工程大学,_NANGJING_UNIVERSITY_OF
首都经济贸易大学,_CAPITAL_UNIVERSITY_OF
河北建筑工程学院,_HEBEI_INSTITUTE_OF
淮北煤炭师范学院,_HUAIBEI_COAL_INDUSTRY_TEACHERS
上海对外贸易学院,_SHANGHAI_INSTITUTE_OF_FOREIGN
昆明贵金属研究所,_KUNMING_INSTITUTE_OF_PRECIOUS
没有规矩不成方圆,_NOTHING_CAN_BE_ACCOMPLISHED
急忙接受立即抓住,_JUMP_AT
留在后面阻止隐瞒,_KEEP_BACK
把一直带领到导致,_LEAD_UP_TO
回顾回想停止不前,_LOOK_BACK
布鲁塞尔自由大学,_UNIVERSIT_LIBRE_DE_BRUXELLES
原地踏步停止不前,_MARK_TIME
中国远洋运输公司,_CHINA_OCEAN_SHIPPING_COMPANY
集装箱运输站到站,_CFS_TO_CFS
行政单位会计制度,_ACCOUNTING_REGULATIONS_OF
事业单位专用基金,_SPECIAL_FUNDS_NONPROFIT
事业单位财务清算,_LIQUIDATION_OF_NONPROFIT
科学事业单位结余,_SCIENTIFIC_RESEARCH
天津城市建设学院,_TIANJIN_INSTITUTE_OF_URBAN
